交易所,品种,名称,主力,收盘,主力OI单边(万手),有效限仓(手),口径,名义容量(亿元),限仓/主力OI(%)
CZCE,CJ,红枣,CJ609,8205.0,9.1,600,固定,0.25,0.7
DCE,jd,鸡蛋,jd2609,4600.0,20.7,1200,固定,0.55,0.6
CZCE,AP,苹果,AP610,7716.0,5.5,1000,固定,0.77,1.8
GFEX,pd,钯,pd2608,303.45,0.6,300,固定(未达阈值),0.91,5.2
DCE,lh,生猪,lh2609,12340.0,10.0,500,固定,0.99,0.5
INE,ec,集运欧线,ec2608,2415.0,2.3,1200,固定,1.45,5.3
SHFE,ru,天然橡胶,ru2609,16870.0,12.7,1000,固定,1.69,0.8
CZCE,UR,尿素,UR609,1728.0,14.7,5000,固定,1.73,3.4
DCE,b,豆二,b2609,3790.0,7.9,5000,固定(未达阈值),1.9,6.3
CZCE,PK,花生,PK610,8408.0,9.9,5000,固定,2.1,5.0
SHFE,sp,纸浆,sp2609,4830.0,32.5,4500,固定,2.17,1.4
CZCE,SH,烧碱,SH609,1934.0,13.5,4000,固定,2.32,3.0
CZCE,PX,对二甲苯,PX609,7818.0,8.0,6000,固定,2.35,7.5
SHFE,fu,燃料油,fu2609,3131.0,21.6,7500,固定,2.35,3.5
GFEX,pt,铂,pt2608,405.7,1.1,600,固定(未达阈值),2.43,5.7
CZCE,PL,丙烯,PL609,7115.0,1.0,2000,固定,2.85,19.0
CZCE,SF,硅铁,SF609,5788.0,10.4,10000,固定,2.89,9.6
DCE,a,豆一,a2609,4717.0,12.3,6171,5%比例,2.91,5.0
INE,nr,20号胶,nr2609,14745.0,5.7,2000,固定,2.95,3.5
SHFE,bu,沥青,bu2609,3780.0,27.6,8000,固定,3.02,2.9
CZCE,PR,瓶片,PR609,6836.0,2.4,3000,固定(未达阈值),3.08,12.4
CZCE,PF,短纤,PF609,7058.0,7.8,10000,固定(未达阈值),3.53,12.8
SHFE,op,胶版纸,op2609,3944.0,1.8,2500,固定(未达阈值),3.94,13.9
DCE,fb,纤维板,fb2609,1321.5,0.5,30000,固定(未达阈值),3.96,629.1
DCE,cs,玉米淀粉,cs2609,2692.0,11.6,15000,固定(未达阈值),4.04,13.0
INE,lu,低硫燃料油,lu2609,4053.0,6.1,10000,固定(未达阈值),4.05,16.3
DCE,bz,纯苯,bz2608,6843.0,0.8,2000,固定(未达阈值),4.11,25.2
CZCE,SA,纯碱,SA609,1088.0,70.3,20000,固定,4.35,2.8
SHFE,ao,氧化铝,ao2609,2723.0,35.6,8000,固定,4.36,2.2
SHFE,ad,铸造铝合金,ad2609,23035.0,1.9,1912,10%比例,4.41,10.0
DCE,eb,苯乙烯,eb2608,7837.0,13.5,13530,10%比例,5.3,10.0
SHFE,br,丁二烯橡胶,br2609,12640.0,8.4,8390,10%比例,5.3,10.0
DCE,i,铁矿石,i2609,750.5,29.1,7500,固定,5.63,2.6
CZCE,CY,棉纱,CY609,22565.0,0.7,5000,固定,5.64,67.6
SHFE,pb,铅,pb2608,16060.0,7.1,7050,10%比例,5.66,10.0
DCE,c,玉米,c2609,2314.0,49.1,24531,5%比例,5.68,5.0
DCE,l,聚乙烯,l2609,7231.0,20.5,16366,8%比例,5.92,8.0
DCE,eg,乙二醇,eg2609,4217.0,14.7,14667,10%比例,6.19,10.0
SHFE,ss,不锈钢,ss2608,14320.0,8.9,8871,10%比例,6.35,10.0
GFEX,ps,多晶硅,ps2609,36335.0,12.1,6037,5%比例,6.58,5.0
DCE,rr,粳米,rr2608,3527.0,1.9,20000,固定(未达阈值),7.05,103.2
SHFE,wr,线材,wr2609,3334.0,0.0,22500,固定(未达阈值),7.5,45918.4
DCE,pg,液化石油气,pg2608,4774.0,4.9,8000,固定(未达阈值),7.64,16.3
DCE,pp,聚丙烯,pp2609,7619.0,25.2,20163,8%比例,7.68,8.0
CZCE,MA,甲醇,MA609,2489.0,33.0,32985,10%比例,8.21,10.0
CZCE,RM,菜粕,RM609,2328.0,37.7,37652,10%比例,8.77,10.0
CZCE,SM,硅锰,SM609,5878.0,23.1,30000,固定,8.82,13.0
DCE,j,焦炭,j2609,1920.0,3.1,5000,固定(未达阈值),9.6,16.4
CFFEX,IH,上证50,IH2609,2977.6,7.0,1200,固定,10.72,1.7
SHFE,zn,锌,zn2608,24935.0,8.6,8636,10%比例,10.77,10.0
DCE,v,聚氯乙烯,v2609,4542.0,60.6,48494,8%比例,11.01,8.0
DCE,p,棕榈油,p2609,9296.0,23.7,11872,5%比例,11.04,5.0
DCE,y,豆油,y2609,8569.0,30.6,15285,5%比例,13.1,5.0
GFEX,si,工业硅,si2609,8425.0,31.5,31496,10%比例,13.27,10.0
CZCE,TA,精对苯二甲酸,TA609,5622.0,48.3,50000,固定(未达阈值),14.06,10.4
INE,sc,原油,sc2609,473.0,4.1,3000,固定,14.19,7.4
DCE,m,豆粕,m2609,3048.0,97.2,48596,5%比例,14.81,5.0
CZCE,OI,菜油,OI609,9903.0,15.1,15146,10%比例,15.0,10.0
DCE,jm,焦煤,jm2609,1263.0,22.8,22809,10%比例,17.28,10.0
SHFE,sn,锡,sn2608,417050.0,4.3,4287,10%比例,17.88,10.0
CZCE,FG,玻璃,FG609,971.0,93.4,93354,10%比例,18.13,10.0
CZCE,SR,白糖,SR609,5279.0,35.2,35191,10%比例,18.58,10.0
CFFEX,IM,中证1000,IM2609,8206.4,21.9,1200,固定,19.7,0.5
SHFE,ag,白银,ag2608,14730.0,19.9,9000,固定,19.89,4.5
CFFEX,IC,中证500,IC2609,8542.0,16.8,1200,固定,20.5,0.7
CFFEX,TF,五债,TF2609,106.46,22.9,2000,固定,21.29,0.9
CZCE,CF,棉花,CF609,16170.0,27.1,27089,10%比例,21.9,10.0
CFFEX,TL,三十债,TL2609,114.02,18.4,2000,固定,22.8,1.1
SHFE,al,铝,al2608,23140.0,22.4,22433,10%比例,25.96,10.0
SHFE,ni,镍,ni2609,128370.0,23.5,23499,10%比例,30.17,10.0
GFEX,lc,碳酸锂,lc2609,151820.0,41.7,20860,5%比例,31.67,5.0
INE,bc,国际铜,bc2608,92310.0,1.1,7000,固定(未达阈值),32.31,65.7
CFFEX,T,十债,T2609,109.23,38.8,4000,固定,43.69,1.0
SHFE,hc,热卷,hc2610,3294.0,163.3,163341,10%比例,53.8,10.0
SHFE,rb,螺纹钢,rb2610,3090.0,203.6,203632,10%比例,62.92,10.0
CFFEX,IF,沪深300,IF2609,4813.2,14.6,5000,固定,72.2,3.4
SHFE,au,黄金,au2608,900.92,12.3,9000,固定,81.08,7.3
SHFE,cu,铜,cu2609,104010.0,16.3,16284,10%比例,84.69,10.0
