prod,near,far,step,drift_run,drift_run_bp,drift_post,drift_post_bp,volx,post_days
FG,FG010,FG011,2020-09-16,55.0,299.56427015250546,-36.0,-196.078431372549,1.1692679333668567,20
FG,FG011,FG012,2020-10-16,-12.0,-66.85236768802228,-77.0,-428.9693593314763,2.5181113236658494,20
FG,FG012,FG101,2020-11-16,10.0,52.54860746190226,-56.0,-294.27220178665266,1.0456248496511729,20
FG,FG101,FG102,2020-12-16,28.0,138.20335636722606,-45.0,-222.11253701875617,2.9220541625286183,21
FG,FG104,FG105,2021-03-16,80.0,381.8615751789976,-218.0,-1040.5727923627685,4.43558548611693,21
FG,FG105,FG106,2021-04-16,-6.0,-26.857654431512984,-133.0,-595.3446732318711,1.3968537078167542,20
FG,FG106,FG107,2021-05-17,18.0,63.85242993969493,8.0,28.37885775097552,0.7228312596589329,20
FG,FG107,FG108,2021-06-16,-64.0,-250.1954652071931,-170.0,-664.5817044566068,0.9550258579437672,20
FG,FG108,FG109,2021-07-16,-26.0,-84.77339419628301,110.0,358.656667753505,1.7997174919546284,20
FG,FG109,FG110,2021-08-16,-46.0,-161.91481872580079,321.0,1129.8838437170011,1.7632067829693723,21
FG,FG110,FG111,2021-09-16,0.0,0.0,46.0,171.5137956748695,1.5639694609298167,18
FG,FG111,FG112,2021-10-18,-248.0,-1104.6770601336302,8.0,35.634743875278396,1.7987296873132552,19
FG,FG112,FG201,2021-11-16,-27.0,-159.2920353982301,161.0,949.8525073746313,1.543818187095358,20
FG,FG201,FG202,2021-12-16,1.0,5.567928730512249,-244.0,-1358.574610244989,0.6285651064820763,21
FG,FG202,FG203,2022-01-17,-23.0,-115.57788944723619,131.0,658.2914572864322,1.901902214513749,19
FG,FG203,FG204,2022-02-16,35.0,158.65820489573892,145.0,657.298277425204,1.262029403904198,18
FG,FG204,FG205,2022-03-16,40.0,198.60973187686196,-92.0,-456.80238331678254,1.9491746630677869,21
FG,FG205,FG206,2022-04-18,-30.0,-158.06111696522657,27.0,142.25500526870388,1.1132544907767135,19
