ts,strategy,kind,product,structure,direction,score,liquid,flag,rollable,curve,slope_pctl,warrant_pctl,book,conditions,tradeable,hold_period,suggest,detail
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,P,p2612-p2701,做多价差(季节性低位),15.996,True,未满足残差过滤,False,contango(+64.5元/月),100.0,0.0,"(-94, 25, -92, 8)","同期分位%=0.0; 最优夏普=16.0; 持有期(交易日)=33; 同期各年={2021: 104.0, 2022: -34.0, 2023: 36.0, 2024: 30.0, 2025: -16.0}; 当前(实时mid)=-93.0; 历史年数=5; 期限斜率(元/月)=62.608; 斜率同期分位%=100.0; 残差z=-0.7; 残差(元)=-49.8; 回归预测=-43.2; 回归R2=0.493; 回归样本=1051点/5年; 仓单佐证=顺风(同期分位0%,当前738); 最小腿OI=31228",DCE.SP p2612&p2701,33.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,P,p2701-p2705,做多价差(季节性低位),12.722,True,未满足残差过滤,False,contango(+64.5元/月),100.0,0.0,"(-161, 21, -159, 58)","同期分位%=0.0; 最优夏普=12.72; 持有期(交易日)=59; 同期各年={2022: 392.0, 2023: -42.0, 2024: 84.0, 2025: 100.0, 2026: 318.0}; 当前(实时mid)=-160.0; 历史年数=5; 期限斜率(元/月)=62.608; 斜率同期分位%=100.0; 残差z=0.51; 残差(元)=73.9; 回归预测=-233.9; 回归R2=0.813; 回归样本=772点/5年; 仓单佐证=顺风(同期分位0%,当前738); 最小腿OI=92120",DCE.SP p2701&p2705,59.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,CF,CF611-CF701,做多价差(季节性低位),10.69,True,未满足残差过滤,False,contango(+89.6元/月),83.3,40.0,"(-240, 283, -235, 298)","同期分位%=0.0; 最优夏普=10.69; 持有期(交易日)=31; 同期各年={2021: -85.0, 2022: 65.0, 2023: 120.0, 2024: -5.0, 2025: -130.0}; 当前(实时mid)=-237.5; 历史年数=5; 期限斜率(元/月)=83.419; 斜率同期分位%=83.3; 残差z=-0.74; 残差(元)=-101.7; 回归预测=-135.8; 回归R2=0.517; 回归样本=944点/5年; 注销段=近腿11月=注销月,本段结构性偏低(即注销效应段); 仓单佐证=中性(同期分位40%,当前9723); 最小腿OI=320420",CZCE.SPD CF611&CF701,31.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,A,a2701-a2703,做多价差(季节性低位),10.388,True,未满足残差过滤,True,contango(+18.3元/月),100.0,100.0,"(-7, 191, -6, 10)","同期分位%=0.0; 最优夏普=10.39; 持有期(交易日)=5; 同期各年={2022: 4.0, 2023: 56.0, 2024: 42.0, 2025: 26.0, 2026: 0.0}; 当前(实时mid)=-6.5; 历史年数=5; 期限斜率(元/月)=15.532; 斜率同期分位%=100.0; 残差z=-0.22; 残差(元)=-6.6; 回归预测=0.1; 回归R2=0.325; 回归样本=983点/5年; 注销段=远腿3月=注销月,本段结构性偏高(效应段在下一段); 仓单佐证=逆风(同期分位100%,当前43344); 最小腿OI=49819",DCE.SP a2701&a2703,5.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,SM,SM701-SM705,做多价差(季节性低位),9.85,True,未满足残差过滤,True,contango(+14.6元/月),66.7,60.0,"(-54, 1, -52, 45)","同期分位%=0.0; 最优夏普=9.85; 持有期(交易日)=28; 同期各年={2022: 50.0, 2023: 76.0, 2024: 88.0, 2025: 78.0, 2026: -50.0}; 当前(实时mid)=-53.0; 历史年数=5; 期限斜率(元/月)=15.544; 斜率同期分位%=66.7; 残差z=-0.47; 残差(元)=-83.7; 回归预测=30.7; 回归R2=0.46; 回归样本=766点/5年; 仓单佐证=中性(同期分位60%,当前65858); 最小腿OI=9064",CZCE.SPD SM701&SM705,28.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,LH,lh2703-lh2705,做多价差(季节性低位),9.683,True,,False,contango(+183.8元/月),100.0,100.0,"(-900, 6, -890, 1)","同期分位%=0.0; 最优夏普=9.68; 持有期(交易日)=10; 同期各年={2022: -390.0, 2023: 25.0, 2024: -425.0, 2025: -165.0, 2026: -540.0}; 当前(实时mid)=-895.0; 历史年数=5; 期限斜率(元/月)=186.898; 斜率同期分位%=100.0; 残差z=-0.6; 残差(元)=-230.5; 回归预测=-664.5; 回归R2=0.632; 回归样本=919点/5年; 保留原因=近腿到期226天>180(远期豁免残差过滤); 仓单佐证=逆风(同期分位100%,当前430); 最小腿OI=40581",DCE.SP lh2703&lh2705,10.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,AO,ao2612-ao2701,做多价差(季节性低位),8.755,True,未满足残差过滤,False,contango(+14.0元/月),100.0,100.0,"(-19, 16, -17, 3)","同期分位%=0.0; 最优夏普=8.75; 持有期(交易日)=54; 同期各年={2023: 21.0, 2024: 81.0, 2025: -18.0}; 当前(实时mid)=-18.0; 历史年数=3; 期限斜率(元/月)=13.921; 斜率同期分位%=100.0; 残差z=-0.56; 残差(元)=-9.3; 回归预测=-8.7; 回归R2=0.912; 回归样本=531点/3年; 仓单佐证=逆风(同期分位100%,当前273586); 最小腿OI=22912",,54.0,,
2026-08-12 10:59:16,价差季节性统计套利(反套),spread,SF,SF610-SF611,做空价差(季节性高位),7.639,True,未满足残差过滤,False,back(-39.7元/月),0.0,0.0,"(-40, 298, -38, 486)","同期分位%=100.0; 最优夏普=-7.64; 持有期(交易日)=25; 同期各年={2021: -74.0, 2022: -112.0, 2023: -180.0, 2024: -174.0, 2025: -210.0}; 当前(实时mid)=-39.0; 历史年数=5; 期限斜率(元/月)=-33.234; 斜率同期分位%=0.0; 残差z=0.72; 残差(元)=100.1; 回归预测=-139.1; 回归R2=0.019; 回归样本=1069点/5年; 注销段=近腿10月=注销月,本段结构性偏低(即注销效应段); 仓单佐证=逆风(同期分位0%,当前3730); 最小腿OI=58796",CZCE.SPD SF610&SF611,25.0,,
2026-08-12 10:59:16,价差季节性统计套利(正套),spread,Y,y2701-y2703,做多价差(季节性低位),7.636,True,未满足残差过滤,True,back(-27.4元/月),66.7,80.0,"(51, 4, 52, 26)","同期分位%=0.0; 最优夏普=7.64; 持有期(交易日)=37; 同期各年={2022: 164.0, 2023: 404.0, 2024: 238.0, 2025: 80.0, 2026: 118.0}; 当前(实时mid)=51.5; 历史年数=5; 期限斜率(元/月)=-27.42; 斜率同期分位%=66.7; 残差z=-0.45; 残差(元)=-38.5; 回归预测=90.0; 回归R2=0.545; 回归样本=983点/5年; 注销段=远腿3月=注销月,本段结构性偏高(效应段在下一段); 仓单佐证=逆风(同期分位80%,当前18166); 最小腿OI=81668",DCE.SP y2701&y2703,37.0,,
2026-08-12 10:59:16,价差季节性统计套利(反套),spread,IH,IH2609-IH2612,做空价差(季节性高位),7.611,True,,False,back(-13.8元/月),0.0,,"(43.2, 1, 44.0, 1)","同期分位%=100.0; 最优夏普=-7.61; 持有期(交易日)=6; 同期各年={2021: 27.6, 2022: -3.4, 2023: -12.0, 2024: -0.6, 2025: -1.8}; 当前(实时mid)=43.6; 历史年数=5; 期限斜率(元/月)=-13.848; 斜率同期分位%=0.0; 残差z=1.88; 残差(元)=10.1; 回归预测=33.5; 回归R2=0.822; 回归样本=458点/5年; 最小腿OI=25279; 分红季=跨9-9月,价差含分红贴现(偏大属正常)",,6.0,,
