#ts=2026-07-09 14:29:46,rate=6.0
交易所,品种,月差,组合合约,近月到期天数,月差跨度(月),最新价差,价差买/卖,盘口宽(跳),fullcarry,时间贴水,转抛比例,可转抛,_last,_ask,_cap,_stor,_dec
GFEX,PD,pd2704-pd2706,,279,2,-5.15,-5.15/2.05,144.0,-3.44,,1.4981,是,-5.15,2.05,3.3297,0.108,0.0
GFEX,PS,ps2608-ps2609,SP ps2608&ps2609,36,1,-260,-270/-260,2.0,-314.7,,0.8262,是,-260,-260,194.7,120.0,0.0
DCE,V,v2608-v2609,SP v2608&v2609,36,1,-43,-44/-43,1.0,-54.54,,0.7884,是,-43,-43,24.541,30.0,0.0
GFEX,PD,pd2610-pd2612,SP pd2610&pd2612,104,2,-2.65,-2.8/-2.65,3.0,-3.38,,0.783,是,-2.65,-2.65,3.2763,0.108,0.0
DCE,V,v2609-v2610,SP v2609&v2610,67,1,-42,-42/-41,1.0,-54.77,,0.7668,是,-42,-41,24.772,30.0,0.0
DCE,J,j2608-j2609,SP j2608&j2609,36,1,-30.5,-34.5/-30.5,8.0,-40.54,,0.7524,是,-30.5,-30.5,10.5352,30.0,0.0
GFEX,PS,ps2612-ps2701,,158,1,-250,-680/-250,86.0,-340.0,,0.7353,是,-250,-250,220.0,120.0,0.0
SHFE,PB,pb2612-pb2701,,159,1,-80,-80/-5,15.0,-109.61,,0.7299,是,-80,-5,88.605,21.0,0.0
GFEX,PD,pd2702-pd2704,,218,2,-2.3,-7.8/2.3,202.0,-3.41,,0.674,是,-2.3,2.3,3.3044,0.108,0.0
GFEX,PD,pd2612-pd2702,SP pd2612&pd2702,158,2,-2.25,-2.7/-2.25,9.0,-3.4,,0.6617,是,-2.25,-2.25,3.2923,0.108,0.0
GFEX,SI,si2608-si2609,SP si2608&si2609,36,1,-50,-55/-50,1.0,-75.62,,0.6612,是,-50,-50,45.6225,30.0,0.0
DCE,V,v2610-v2611,SP v2610&v2611,104,1,-35,-36/-35,1.0,-55.01,,0.6362,是,-35,-35,25.014,30.0,0.0
DCE,FB,fb2608-fb2609,SP fb2608&fb2609,36,1,-23.0,-28.0/-23.0,10.0,-37.16,,0.6189,是,-23.0,-23.0,7.1638,30.0,0.0
CZCE,SM,SM608-SM609,SPD SM608&SM609,36,1,-28,-28/-26,1.0,-45.81,,0.6113,是,-28,-26,32.307,13.5,0.0
GFEX,PS,ps2610-ps2611,,104,1,-190,-250/-155,19.0,-316.9,,0.5996,是,-190,-155,196.9,120.0,0.0
CZCE,CF,CF609-CF611,SPD CF609&CF611,67,2,-280,-280/-275,1.0,-467.29,-244.0,0.5992,是,-280,-275,175.285,48.0,244.0
DCE,V,v2611-v2612,SP v2611&v2612,127,1,-33,-33/-32,1.0,-55.2,,0.5978,是,-33,-32,25.201,30.0,0.0
DCE,V,v2612-v2701,SP v2612&v2701,158,1,-32,-34/-32,2.0,-55.38,,0.5778,是,-32,-32,25.3825,30.0,0.0
DCE,J,j2609-j2610,SP j2609&j2610,67,1,-23.5,-23.5/-20.5,6.0,-40.68,,0.5776,是,-23.5,-20.5,10.6837,30.0,0.0
SHFE,NI,ni2608-ni2609,,39,1,-410,-440/-400,4.0,-738.86,,0.5549,是,-410,-400,701.36,37.5,0.0
INE,LU,lu2702-lu2703,,204,1,-34,-34/61,95.0,-62.65,,0.5427,是,-34,61,20.647,42.0,0.0
INE,SC,sc2608-sc2609,,22,1,-4.6,-4.7/-4.4,3.0,-8.6,,0.5351,是,-4.6,-4.4,2.596,6.0,0.0
SHFE,NI,ni2612-ni2701,,159,1,-380,-480/-280,20.0,-746.45,,0.5091,是,-380,-280,708.95,37.5,0.0
GFEX,PT,pt2612-pt2702,SP pt2612&pt2702,158,2,-2.3,-2.4/-2.3,2.0,-4.54,,0.5066,是,-2.3,-2.3,4.4324,0.108,0.0
DCE,M,m2608-m2609,SP m2608&m2609,36,1,-16,-16/-15,1.0,-31.68,,0.5051,是,-16,-15,16.676,15.0,0.0
GFEX,PS,ps2609-ps2610,SP ps2609&ps2610,67,1,-155,-160/-155,1.0,-316.1,,0.4903,是,-155,-155,196.1025,120.0,0.0
GFEX,LC,lc2608-lc2609,SP lc2608&lc2609,36,1,-480,-480/-460,1.0,-985.12,,0.4873,是,-480,-460,835.12,150.0,0.0
SHFE,NI,ni2611-ni2612,,130,1,-360,-410/-280,13.0,-744.47,,0.4836,是,-360,-280,706.97,37.5,0.0
DCE,J,j2610-j2611,SP j2610&j2611,104,1,-19.5,-20.0/-19.5,1.0,-40.81,,0.4778,是,-19.5,-19.5,10.813,30.0,0.0
CZCE,CJ,CJ703-CJ705,SPD CJ703&CJ705,246,2,-130,-135/-130,1.0,-277.46,,0.4685,是,-130,-130,97.46,180.0,0.0
DCE,V,v2701-v2702,SP v2701&v2702,189,1,-26,-27/-26,1.0,-55.55,,0.468,是,-26,-26,25.553,30.0,0.0
GFEX,LC,lc2612-lc2701,,158,1,-460,-660/-460,10.0,-990.84,,0.4643,是,-460,-460,840.84,150.0,0.0
GFEX,SI,si2609-si2610,SP si2609&si2610,67,1,-35,-35/-30,1.0,-75.9,,0.4611,是,-35,-30,45.8975,30.0,0.0
GFEX,SI,si2610-si2611,,104,1,-35,-40/-30,2.0,-76.09,,0.46,是,-35,-30,46.09,30.0,0.0
DCE,A,a2609-a2611,SP a2609&a2611,67,2,-37,-38/-37,1.0,-81.86,,0.452,是,-37,-37,51.865,30.0,0.0
DCE,M,m2609-m2611,SP m2609&m2611,67,2,-28,-28/-26,2.0,-63.53,,0.4408,是,-28,-26,33.528,30.0,0.0
INE,SC,sc2609-sc2610,,53,1,-3.8,-3.9/-3.6,3.0,-8.62,,0.4408,是,-3.8,-3.6,2.6213,6.0,0.0
SHFE,NI,ni2609-ni2610,,68,1,-320,-360/-310,5.0,-741.12,,0.4318,是,-320,-310,703.615,37.5,0.0
CZCE,SR,SR703-SR705,SPD SR703&SR705,246,2,-36,-36/-34,2.0,-89.59,,0.4018,是,-36,-34,59.587,30.0,0.0
CZCE,SR,SR609-SR611,SPD SR609&SR611,67,2,-43,-43/-42,1.0,-107.72,-20.0,0.3992,是,-43,-42,57.717,30.0,20.0
SHFE,NI,ni2610-ni2611,,98,1,-290,-290/-200,9.0,-742.88,,0.3904,是,-290,-200,705.375,37.5,0.0
CZCE,SA,SA608-SA609,SPD SA608&SA609,36,1,-8,-9/-8,1.0,-20.87,,0.3834,是,-8,-8,5.8685,15.0,0.0
DCE,J,j2611-j2612,SP j2611&j2612,127,1,-15.5,-19.0/-11.5,15.0,-40.91,,0.3788,是,-15.5,-11.5,10.9147,30.0,0.0
DCE,FB,fb2611-fb2612,SP fb2611&fb2612,127,1,-14.0,-15.5/-10.5,10.0,-37.3,,0.3754,是,-14.0,-10.5,7.2957,30.0,0.0
DCE,J,j2612-j2701,SP j2612&j2701,158,1,-15.0,-15.5/-11.5,8.0,-41.0,,0.3659,是,-15.0,-11.5,11.0,30.0,0.0
DCE,A,a2611-a2701,SP a2611&a2701,127,2,-30,-30/-29,1.0,-82.27,,0.3646,是,-30,-29,52.272,30.0,0.0
INE,SC,sc2610-sc2611,,83,1,-3.1,-3.1/-2.6,5.0,-8.64,,0.3587,是,-3.1,-2.6,2.6422,6.0,0.0
DCE,Y,y2608-y2609,SP y2608&y2609,36,1,-26,-28/-26,2.0,-74.17,,0.3506,是,-26,-26,47.168,27.0,0.0
SHFE,ZN,zn2608-zn2609,,39,1,-50,-50/-40,2.0,-145.29,,0.3441,是,-50,-40,136.29,9.0,0.0
SHFE,NI,ni2701-ni2702,,190,1,-240,-540/-160,38.0,-748.54,,0.3206,是,-240,-160,711.04,37.5,0.0
SHFE,PB,pb2610-pb2611,,98,1,-35,-40/-10,6.0,-109.66,,0.3192,是,-35,-10,88.66,21.0,0.0
GFEX,SI,si2701-si2702,,189,1,-25,-50/-10,8.0,-78.34,,0.3191,是,-25,-10,48.345,30.0,0.0
INE,SC,sc2611-sc2612,,113,1,-2.7,-3.5/-2.7,8.0,-8.66,,0.3117,是,-2.7,-2.7,2.6614,6.0,0.0
SHFE,AG,ag2610-ag2611,,98,1,-24,-24/-13,11.0,-79.85,,0.3006,是,-24,-13,79.3705,0.48,0.0
GFEX,PT,pt2610-pt2612,SP pt2610&pt2612,104,2,-1.35,-1.5/-1.35,3.0,-4.53,,0.2978,是,-1.35,-1.35,4.4247,0.108,0.0
CZCE,SR,SR701-SR703,SPD SR701&SR703,189,2,-25,-26/-25,1.0,-89.31,,0.2799,是,-25,-25,59.312,30.0,0.0
GFEX,PT,pt2702-pt2704,,218,2,-1.2,-8.0/-1.2,136.0,-4.56,,0.263,是,-1.2,-1.2,4.4539,0.108,0.0
SHFE,AU,au2608-au2609,,39,1,-1.24,-1.24/-0.84,20.0,-4.99,,0.2485,是,-1.24,-0.84,4.9363,0.054,0.0
INE,SC,sc2701-sc2702,,175,1,-2.1,-3.9/-0.2,37.0,-8.68,,0.2418,是,-2.1,-0.2,2.684,6.0,0.0
SHFE,AU,au2702-au2704,,221,2,-2.4,-2.46/-1.7,38.0,-10.05,,0.2388,是,-2.4,-1.7,9.9438,0.108,0.0
CZCE,SA,SA610-SA611,SPD SA610&SA611,104,1,-5,-5/-4,1.0,-21.03,,0.2378,是,-5,-4,6.028,15.0,0.0
CZCE,SA,SA612-SA701,SPD SA612&SA701,158,1,-5,-5/-4,1.0,-21.25,,0.2353,是,-5,-4,6.2535,15.0,0.0
CZCE,UR,UR608-UR609,SPD UR608&UR609,36,1,-5,-6/-5,1.0,-21.47,,0.2329,是,-5,-5,9.471,12.0,0.0
SHFE,AU,au2610-au2612,,98,2,-2.3,-2.36/-2.1,13.0,-10.0,,0.2299,是,-2.3,-2.1,9.896,0.108,0.0
SHFE,PB,pb2608-pb2609,,39,1,-25,-25/-15,2.0,-109.44,,0.2284,是,-25,-15,88.44,21.0,0.0
DCE,J,j2701-j2702,SP j2701&j2702,189,1,-9.0,-11.0/-7.5,7.0,-41.08,,0.2191,是,-9.0,-7.5,11.0825,30.0,0.0
