品种,A信号幅度,年数,A偏强,A偏弱,B偏紧,B偏松,人工规律,核对
EC,34.037,3,8月:+23.80 6月:-4.07,4月:-10.23 10月:-9.50,12月:+10.03 7月:+6.22,3月:-13.59 2月:-7.70,,
JD,25.095,6,1月:+10.07 9月:+6.12,7月:-15.02 6月:-4.66,11月:+3.05 10月:+2.99,4月:-3.41 3月:-2.51,08旺季(中秋备货);06-07梅雨淡季,✗待议
LH,16.072,5,1月:+9.95 9月:+1.75,7月:-6.12 5月:-4.16,11月:+6.46 10月:+6.06,4月:-6.55 3月:-5.37,01旺季(冬季腌腊+春节),✓部分
SI,11.132,3,12月:+1.15 1月:+1.05,11月:-9.99 7月:+0.74,12月:+1.07 1月:+1.03,10月:-2.50 8月:-2.00,,
PG,10.527,6,2月:+3.17 4月:+2.08,3月:-7.36 9月:-7.21,4月:+1.71 10月:+1.64,7月:-1.23 8月:-1.05,,
CJ,10.12,6,12月:+2.27 1月:+2.26,9月:-7.85 7月:+0.86,10月:+3.08 11月:+2.97,8月:-7.79 7月:-5.45,,
RM,8.673,6,9月:+4.84 11月:+0.94,7月:-3.83 3月:-2.03,8月:+2.50 9月:+1.86,3月:-1.49 4月:-1.47,,
M,8.355,6,3月:+4.38 1月:+1.92,7月:-3.98 9月:-1.34,2月:+2.99 1月:+2.40,4月:-2.56 6月:-2.50,,
RU,7.608,6,4月:+0.83 3月:+0.82,11月:-6.77 9月:+0.64,1月:+1.06 2月:+0.94,10月:-2.31 9月:-1.55,,
FG,5.769,6,12月:+2.67 10月:+1.78,3月:-3.10 7月:-2.24,9月:+0.72 8月:+0.68,1月:-0.78 12月:-0.50,,
CS,4.208,6,9月:+2.29 1月:+0.44,3月:-1.91 7月:-0.78,7月:+1.07 8月:+1.07,2月:-0.92 1月:-0.73,,
B,4.1,6,3月:+2.14 4月:+1.11,7月:-1.96 8月:-1.21,2月:+1.14 1月:+1.02,5月:-1.25 6月:-1.21,,
CY,4.053,4,8月:+1.48 11月:+0.99,10月:-2.58 6月:-0.80,10月:+0.55 11月:+0.42,2月:-0.64 3月:-0.32,,
AP,3.921,5,10月:+2.38 5月:+1.54,12月:-1.54 4月:-1.25,6月:+2.49 7月:+1.73,5月:-4.37 3月:-2.14,"01/05旺季(大持仓易逼仓,尤其05)",✓部分
SF,3.707,6,1月:+1.69 9月:+0.94,6月:-2.02 10月:-1.90,10月:+0.62 11月:+0.39,4月:-0.25 5月:-0.22,,
LC,3.081,3,1月:+1.66 2月:+0.79,3月:-1.42 11月:-1.15,11月:+0.73 10月:+0.70,1月:-0.43 2月:-0.27,,
C,3.049,6,9月:+1.71 11月:+0.44,3月:-1.34 5月:-0.46,7月:+1.28 8月:+1.11,2月:-1.03 12月:-0.65,,
SA,3.005,6,12月:+1.32 10月:+1.28,7月:-1.69 3月:-1.57,9月:+1.72 11月:+0.85,1月:-0.92 2月:-0.85,,
FB,2.952,6,1月:+1.04 11月:+0.76,3月:-1.91 9月:-0.76,11月:+0.99 10月:+0.55,1月:-0.38 12月:-0.35,,
SH,2.937,3,10月:+1.45 6月:+0.64,7月:-1.49 9月:-0.79,6月:+0.79 2月:+0.66,1月:-1.55 5月:-0.53,,
UR,2.677,6,8月:+0.82 9月:+0.81,2月:-1.85 10月:-0.79,7月:+1.00 6月:+0.85,1月:-0.81 12月:-0.68,,
JM,2.481,6,3月:+1.16 1月:+0.96,7月:-1.32 6月:-0.82,11月:+2.35 2月:+1.14,5月:-1.98 6月:-1.49,,
J,2.434,6,4月:+0.84 12月:+0.84,3月:-1.59 7月:-0.49,11月:+0.93 10月:+0.87,12月:-0.74 1月:-0.67,,
Y,2.403,6,3月:+1.61 1月:+0.97,9月:-0.79 8月:-0.78,2月:+1.10 12月:+0.91,7月:-1.06 8月:-0.73,,
V,2.23,6,1月:+0.54 12月:+0.50,3月:-1.69 7月:-0.07,10月:+0.52 11月:+0.39,1月:-0.65 2月:-0.59,,
MA,2.19,6,5月:+0.59 6月:+0.57,11月:-1.59 10月:-0.63,4月:+0.71 3月:+0.56,8月:-1.08 7月:-0.80,12-2月旺季(冬季需求),✗待议
SP,2.169,6,1月:+0.39 11月:+0.35,12月:-1.78 4月:-0.05,7月:+0.24 4月:+0.16,11月:-0.53 12月:-0.29,,
BU,2.045,6,11月:+1.14 12月:+0.72,2月:-0.90 3月:-0.66,7月:+0.80 8月:+0.62,12月:-0.85 1月:-0.70,,
OI,1.967,6,11月:+0.91 3月:+0.79,5月:-1.06 9月:-0.82,10月:+1.48 9月:+1.19,4月:-0.83 3月:-0.72,,
RB,1.958,6,1月:+1.28 12月:+0.91,9月:-0.67 2月:-0.35,11月:+0.50 10月:+0.27,8月:-0.37 7月:-0.29,,
PK,1.949,5,10月:+1.29 3月:+0.07,12月:-0.66 1月:-0.64,6月:+1.60 7月:+1.05,3月:-1.60 11月:-0.90,,
FU,1.893,6,8月:+0.91 7月:+0.66,1月:-0.98 3月:-0.83,5月:+0.90 9月:+0.71,12月:-1.26 1月:-0.77,,
I,1.685,6,8月:+0.81 12月:+0.61,2月:-0.88 3月:-0.66,8月:+0.56 7月:+0.43,12月:-1.11 11月:-0.58,,
AO,1.663,3,1月:+0.84 3月:+0.77,7月:-0.82 6月:-0.71,12月:+1.48 11月:+1.00,2月:-0.87 4月:-0.85,,
A,1.625,6,9月:+0.81 7月:+0.13,3月:-0.81 5月:-0.18,8月:+0.80 6月:+0.56,3月:-0.46 1月:-0.44,,
BR,1.527,3,8月:+0.41 7月:+0.39,6月:-1.11 3月:-0.19,10月:+0.35 7月:+0.21,12月:-0.40 5月:-0.20,,
P,1.373,6,7月:+0.70 4月:+0.67,10月:-0.68 1月:-0.62,5月:+0.67 3月:+0.59,10月:-0.52 11月:-0.46,,
SM,1.289,6,9月:+0.43 1月:+0.31,10月:-0.86 3月:-0.17,10月:+0.47 11月:+0.34,9月:-0.23 7月:-0.21,,
EB,1.261,6,7月:+0.51 8月:+0.48,2月:-0.75 3月:-0.70,5月:+0.61 6月:+0.41,1月:-0.82 12月:-0.66,,
SR,1.224,6,9月:+0.74 7月:+0.04,11月:-0.48 5月:-0.21,7月:+0.41 6月:+0.41,10月:-0.41 11月:-0.34,,
WR,1.19,6,1月:+0.79 8月:+0.77,9月:-0.40 3月:-0.38,6月:+0.72 5月:+0.41,3月:-0.47 2月:-0.46,,
CF,1.128,6,1月:+0.46 3月:+0.28,7月:-0.67 11月:-0.23,12月:+0.62 11月:+0.56,5月:-0.68 6月:-0.65,,
LU,1.114,5,9月:+0.46 7月:+0.42,4月:-0.65 3月:-0.53,5月:+1.27 6月:+0.63,1月:-0.71 2月:-0.54,,
TA,0.989,6,8月:+0.52 9月:+0.40,3月:-0.47 2月:-0.38,6月:+0.54 7月:+0.39,12月:-0.48 1月:-0.42,,
EG,0.934,6,5月:+0.27 8月:+0.21,3月:-0.66 2月:-0.08,4月:+0.41 5月:+0.11,12月:-0.55 1月:-0.18,,
L,0.921,6,1月:+0.38 12月:+0.10,3月:-0.55 11月:-0.09,10月:+0.13 11月:+0.13,1月:-0.14 3月:-0.12,,
PP,0.918,6,9月:+0.31 1月:+0.21,3月:-0.61 4月:-0.27,6月:+0.36 5月:+0.22,1月:-0.39 2月:-0.26,,
PF,0.852,5,11月:+0.36 10月:+0.35,5月:-0.49 9月:-0.45,10月:+0.49 7月:+0.24,1月:-0.50 2月:-0.31,,
SC,0.77,6,9月:+0.38 7月:+0.32,2月:-0.39 1月:-0.39,3月:+0.44 8月:+0.25,12月:-0.68 11月:-0.47,,
HC,0.71,6,12月:+0.42 11月:+0.19,7月:-0.29 6月:-0.21,10月:+0.27 9月:+0.25,3月:-0.18 1月:-0.17,,
PX,0.67,3,8月:+0.35 9月:+0.21,5月:-0.32 11月:-0.15,6月:+0.59 4月:+0.39,3月:-0.59 7月:-0.25,,
IF,0.606,5,5月:+0.38 8月:-0.06,2月:-0.23 11月:-0.09,5月:+0.45 4月:+0.27,1月:-0.23 12月:-0.22,,
IH,0.593,5,5月:+0.38 8月:-0.07,2月:-0.21 11月:-0.10,5月:+0.65 6月:+0.43,1月:-0.24 12月:-0.23,,
IM,0.563,3,5月:+0.35 8月:+0.00,2月:-0.22 11月:-0.13,4月:+0.37 5月:+0.26,2月:-0.18 1月:-0.15,,
RR,0.517,6,5月:+0.22 10月:+0.14,12月:-0.30 7月:-0.20,1月:+0.28 2月:+0.20,11月:-0.39 12月:-0.29,,
IC,0.514,5,5月:+0.31 11月:-0.04,2月:-0.20 8月:-0.07,4月:+0.27 5月:+0.22,2月:-0.17 12月:-0.14,,
ZN,0.404,6,12月:+0.20 11月:+0.20,3月:-0.20 4月:-0.15,9月:+0.31 8月:+0.18,1月:-0.22 2月:-0.17,,
SS,0.348,6,9月:+0.21 11月:+0.13,3月:-0.14 7月:-0.14,11月:+0.39 7月:+0.24,1月:-0.29 12月:-0.28,,
AL,0.296,6,11月:+0.14 12月:+0.12,3月:-0.16 4月:-0.13,9月:+0.19 8月:+0.12,1月:-0.16 2月:-0.12,,
NR,0.27,6,10月:+0.19 7月:+0.07,12月:-0.08 2月:-0.06,10月:+0.17 6月:+0.15,12月:-0.23 8月:-0.13,,
NI,0.252,6,7月:+0.14 8月:+0.08,2月:-0.11 3月:-0.10,7月:+0.30 5月:+0.22,12月:-0.21 11月:-0.17,,
PB,0.242,6,9月:+0.16 10月:+0.10,4月:-0.08 5月:-0.07,7月:+0.22 8月:+0.19,12月:-0.10 3月:-0.09,,
BC,0.236,5,7月:+0.12 10月:+0.10,9月:-0.11 8月:-0.11,10月:+0.14 9月:+0.07,1月:-0.15 5月:-0.09,,
CU,0.154,6,12月:+0.08 11月:+0.06,4月:-0.08 3月:-0.08,10月:+0.15 9月:+0.11,2月:-0.13 1月:-0.12,,
SN,0.134,6,12月:+0.07 1月:+0.04,7月:-0.07 10月:-0.04,11月:+0.23 10月:+0.13,3月:-0.17 4月:-0.12,,
TL,0.129,3,12月:+0.05 9月:+0.05,6月:-0.08 3月:-0.02,8月:+0.20 9月:+0.11,12月:-0.10 6月:-0.07,,
AG,0.109,6,3月:+0.06 4月:+0.04,12月:-0.05 1月:-0.03,2月:+0.15 1月:+0.05,11月:-0.05 9月:-0.05,,
T,0.093,6,12月:+0.06 9月:-0.00,3月:-0.03 6月:-0.03,10月:+0.07 8月:+0.05,12月:-0.06 1月:-0.04,,
AU,0.092,5,11月:+0.04 9月:+0.04,8月:-0.05 6月:-0.03,8月:+0.04 9月:+0.03,4月:-0.04 10月:-0.04,,
TF,0.076,6,12月:+0.04 9月:+0.00,3月:-0.04 6月:+0.00,8月:+0.05 9月:+0.05,12月:-0.07 1月:-0.04,,
